date;value;;;
1;87751066;87751066;87751066;87751066
2;-173154802;-85403736;2347330;90098396
3;85476383;72647;2419977;92518373
4;4298;76945;2496922;95015295
5;7566;84511;2581433;97596728
6;4398;88909;2670342;100267070
7;-898;88011;2758353;103025423
8;-6211;81800;2840153;105865576
9;-7603;74197;2914350;108779926
10;-9907;64290;2978640;111758566
11;-8317;55973;3034613;114793179
12;-3619;52354;3086967;117880146
13;-2151;50203;3137170;121017316
14;-4996;45207;3182377;124199693
15;-5079;40128;3222505;127422198
16;-4101;36027;3258532;130680730
17;-8349;27678;3286210;133966940
18;-2771;24907;3311117;137278057
19;7650;32557;3343674;140621731
20;11882;44439;3388113;144009844
21;5438;49877;3437990;147447834
22;2521;52398;3490388;150938222
23;-12773;39625;3530013;154468235
24;-28625;11000;3541013;158009248
25;-37908;-26908;3514105;161523353
26;-28098;-55006;3459099;164982452
27;-12258;-67264;3391835;168374287
28;3898;-63366;3328469;171702756
29;8094;-55272;3273197;174975953
30;15269;-40003;3233194;178209147
31;11060;-28943;3204251;181413398
32;3191;-25752;3178499;184591897
33;-4858;-30610;3147889;187739786
34;-5881;-36491;3111398;190851184
35;-8633;-45124;3066274;193917458
36;-4351;-49475;3016799;196934257
37;-350;-49825;2966974;199901231
38;8064;-41761;2925213;202826444
39;14701;-27060;2898153;205724597
40;19481;-7579;2890574;208615171
41;15656;8077;2898651;211513822
42;6869;14946;2913597;214427419
43;1828;16774;2930371;217357790
44;4538;21312;2951683;220309473
45;3198;24510;2976193;223285666
46;3099;27609;3003802;226289468
47;-2617;24992;3028794;229318262
48;2191;27183;3055977;232374239
49;12356;39539;3095516;235469755
50;15744;55283;3150799;238620554
51;7590;62873;3213672;241834226
52;5217;68090;3281762;245115988
53;-14126;53964;3335726;248451714
54;-36090;17874;3353600;251805314
55;-48712;-30838;3322762;255128076
56;-36743;-67581;3255181;258383257
57;-14471;-82052;3173129;261556386
58;3506;-78546;3094583;264650969
59;3543;-75003;3019580;267670549
60;10441;-64562;2955018;270625567
61;7598;-56964;2898054;273523621
62;-2923;-59887;2838167;276361788
