date;value;
1;927;927
2;149;1076
3;297;1373
4;559;1932
5;433;2365
6;197;2562
7;91;2653
8;243;2896
9;548;3444
10;654;4098
11;912;5010
12;829;5839
13;467;6306
14;673;6979
15;419;7398
16;-533;6865
17;-67;6798
18;880;7678
19;1563;9241
20;1461;10702
21;2206;12908
22;1753;14661
23;1632;16293
24;2040;18333
25;3241;21574
26;3331;24905
27;1562;26467
28;217;26684
29;-4479;22205
30;-386;21819
31;2028;23847
32;-1823;22024
33;522;22546
34;1102;23648
35;3890;27538
36;2424;29962
37;3799;33761
38;5758;39519
39;1022;40541
40;-1450;39091
41;7645;46736
42;6337;53073
43;1884;54957
44;1440;56397
45;585;56982
46;-1905;55077
47;1303;56380
48;3769;60149
49;5152;65301
